"indicator","year","area","quintile","ethnicity","migration","disability","age","education_level","sex","idgeo","validation","year_hh_surveyed","year_hh_indicator","weighted_value","count_countries"
"aguadisp_ch",2012,"Total","quintile_5","Total","Total","Total","Total","Total","Total","country",0.822705192934469,12901924.5519509,10614480.3277388,82.2705192934469,3
"aguadisp_ch",2012,"Total","Total","Indi","Total","Total","Total","Total","Total","country",0.567148081299321,8731143,4951851,56.7148081299321,1
"aguadisp_ch",2012,"Total","Total","Other","Total","Total","Total","Total","Total","country",0.717054747462747,22828236,16369095,71.7054747462747,1
"aguadisp_ch",2012,"Total","Total","Total","Migrant","Total","Total","Total","Total","country",0.49693114251007,62564,31090,49.693114251007,1
"aguadisp_ch",2012,"Total","Total","Total","Non-migrant","Total","Total","Total","Total","country",0.663064873777933,1590134,1054362,66.3064873777933,1
"aguadisp_ch",2012,"Total","Total","Total","Total","person_with_disability","Total","Total","Total","country",0.635122810924001,3799377,2413071,63.5122810924001,1
"aguadisp_ch",2012,"Total","Total","Total","Total","person_with_no_disability","Total","Total","Total","country",0.681685026464206,27673417,18864554,68.1685026464206,1
"aguadisp_ch",2012,"Total","Total","Total","Total","Total","Total","Total","Total","country",0.681306811546014,46195838.2133442,31473539.2398291,68.1306811546014,3
"aguadisp_ch",2012,"urban","quintile_1","Total","Total","Total","Total","Total","Total","country",0.5943810593414,2540548.83301675,1510054.10667705,59.43810593414,3
"aguadisp_ch",2012,"urban","quintile_2","Total","Total","Total","Total","Total","Total","country",0.670887362606142,4099544.34397733,2750332.49281788,67.0887362606142,3
"aguadisp_ch",2012,"urban","quintile_3","Total","Total","Total","Total","Total","Total","country",0.710552113059751,5742943.2218293,4080660.44145298,71.0552113059751,3
"aguadisp_ch",2012,"urban","quintile_4","Total","Total","Total","Total","Total","Total","country",0.786314831519426,7723955.84159135,6073461.03624439,78.6314831519426,3
"aguadisp_ch",2012,"urban","quintile_5","Total","Total","Total","Total","Total","Total","country",0.851390755161374,11275558.010119,9599905.84910107,85.1390755161374,3
"aguadisp_ch",2012,"urban","Total","Indi","Total","Total","Total","Total","Total","country",0.631868910114876,4080742,2578494,63.1868910114876,1
"aguadisp_ch",2012,"urban","Total","Other","Total","Total","Total","Total","Total","country",0.780168573295186,16358107,12762081,78.0168573295186,1
"aguadisp_ch",2012,"urban","Total","Total","Total","person_with_disability","Total","Total","Total","country",0.711129430755447,2025755,1440574,71.1129430755447,1
"aguadisp_ch",2012,"urban","Total","Total","Total","person_with_no_disability","Total","Total","Total","country",0.755762412868583,18359193,13875188,75.5762412868583,1
"aguadisp_ch",2012,"urban","Total","Total","Total","Total","Total","Total","Total","country",0.765606273541289,31517638.1188504,24130101.4709959,76.5606273541289,3
"aguadisp_ch",2014,"rural","quintile_1","Total","Total","Total","Total","Total","Total","country",0.433933991001761,4331489.77404404,1879580.64463425,43.3933991001761,4
"aguadisp_ch",2014,"rural","quintile_2","Total","Total","Total","Total","Total","Total","country",0.492446259365343,2584005.73170471,1272483.95675659,49.2446259365343,4
"aguadisp_ch",2014,"rural","quintile_3","Total","Total","Total","Total","Total","Total","country",0.527116060824255,1895348.7536087,999068.768890381,52.7116060824255,4
"aguadisp_ch",2014,"rural","quintile_4","Total","Total","Total","Total","Total","Total","country",0.579548700305563,1350864.13320542,782891.552688599,57.9548700305563,4
"aguadisp_ch",2014,"rural","quintile_5","Total","Total","Total","Total","Total","Total","country",0.641688308045676,1045285.57808685,670747.5340271,64.1688308045676,4
"aguadisp_ch",2014,"rural","Total","Afro","Total","Total","Total","Total","Total","country",0.20956729013159,324176.667488097,67936.8257293701,20.956729013159,1
"aguadisp_ch",2014,"rural","Total","Indi","Total","Total","Total","Total","Total","country",0.460002155278858,3091022.32868958,1421876.93321228,46.0002155278858,2
"aguadisp_ch",2014,"rural","Total","Other","Total","Total","Total","Total","Total","country",0.509071776439044,6552056.31564331,3335466.9479332,50.9071776439044,2
"aguadisp_ch",2014,"rural","Total","Total","Total","person_with_disability","Total","Total","Total","country",0.497305913829572,942248.999999999,468586,49.7305913829572,1
"aguadisp_ch",2014,"rural","Total","Total","Total","person_with_no_disability","Total","Total","Total","country",0.550203461734884,5995722,3298867,55.0203461734884,1
"aguadisp_ch",2014,"rural","Total","Total","Total","Total","Total","Total","Total","country",0.500505649493396,11273720.311821,5642560.70687485,50.0505649493396,4
"aguadisp_ch",2014,"Total","quintile_1","Total","Total","Total","Total","Total","Total","country",0.512690372955599,8432427.16502858,4323224.22815943,51.26903729556,4
